AIN,TOC Dummy,DISC Dummy,cp_filing,cp_complet,cp_approva,permit_num,ladbs_subm,ladbs_perm,ladbs_appr
2239023003,0,1,#N/A,3/28/2018,#N/A,16010-20000-06148,2016-12-23,2018-10-23,669
2240012014,0,1,1/5/2018,#N/A,8/17/2018,17010-10000-03377,2017-09-01,2019-03-15,560
2246020015,0,1,5/3/2016,2/27/2017,12/20/2016,17010-10000-02382,2017-06-28,2019-03-04,614
2248005024,0,1,#N/A,9/21/2017,#N/A,16010-20000-05878,2016-12-19,2019-01-23,765
2284001016,0,1,9/18/2018,11/12/2018,4/9/2019,18010-10000-03648,7/20/2018,1/17/2020,546
2314007017,0,1,2/2/2015,#N/A,10/2/2015,16010-10000-05921,2016-12-20,2019-12-13,"1,088"
2314008036,0,1,8/12/2009,5/4/2015,5/12/2011,15010-10000-01761,2015-05-14,2018-05-10,"1,092"
2328012003,0,1,#N/A,12/8/2016,#N/A,18010-20000-02536,2018-05-30,2019-02-12,258
2333010017,0,1,3/28/2018,3/28/2018,8/21/2018,17010-10000-00949,3/7/2017,8/30/2018,541
2335025017,0,1,6/12/2018,7/28/2017,6/12/2018,15010-20000-03007,2015-08-24,2018-03-05,924
2335032012,0,1,#N/A,7/12/2018,#N/A,16010-10000-06426,2016-12-30,2018-09-21,630
2335032017,0,1,5/18/2017,5/26/2016,10/20/2017,17010-30000-02813,2017-07-19,2018-05-15,300
2337034016,0,1,#N/A,5/5/2015,#N/A,16010-20000-03111,2016-07-13,2018-01-12,548
2338024009,0,1,7/14/2014,5/24/2017,1/6/2015,15010-10000-01555,2015-04-28,2018-04-27,"1,095"
2347008021,0,1,8/10/2017,6/9/2017,11/30/2017,17010-20000-02797,2017-07-18,2018-09-24,433
2347019010,0,1,10/26/2017,6/28/2018,9/26/2018,17010-20000-04803,12/6/2017,5/8/2019,518
2347026001,0,1,12/14/2017,10/2/2018,10/5/2018,17010-20000-05167,12/28/2017,10/10/2019,651
2347031029,0,1,9/10/2015,7/15/2016,12/6/2016,17010-20000-01171,3/17/2017,11/5/2018,598
